Supplementary Data 1: The results of the anderson-darling one-vs-all assessment of pathway trees under category distributions indicates significant difference in the relative Robinson-Foulds (RF) distance in taurine/cysteine metabolism category pathway genes than gene trees from all other category-associated pathways.

"functional_category","n_pathway","n_other_pathways","median_effect_pathway","median_effect_other_pathways","median_rf_pathway","median_rf_other_pathways","p_ad_effect","p_ad_rf","fdr_ad_effect","fdr_ad_rf"
"Taurine and cysteine metabolism",28,114,267.865369,58.1448030000006,0.0699186991869919,0.0434782608695652,0.9764,0.011641,0.9764,0.058205
"Glycine metabolism",14,128,97.0068330000004,90.4085399999999,0.071265243902439,0.0465116279069767,0.57386,0.092851,0.9248125,0.2321275
"Bile acid biosynthesis & metabolism",31,111,118.493858,62.323222,0.0363636363636364,0.0493827160493827,0.73985,0.22103,0.9248125,0.3201375
"Fatty acid & cholesterol metabolism",55,87,-130.510306,171.874128,0.0416666666666667,0.0493827160493827,0.66574,0.25611,0.9248125,0.3201375
"Retinoid / vitamin A metabolism",14,128,452.659267,23.4549490000009,0.0400641025641026,0.0490816019271304,0.33343,0.89096,0.9248125,0.89096
